Pink Floyd in Venice Article, rdfs:label ,Article about Pink Floyd in Venice
Pink Floyd in Venice Article, rdf:type ,Newspaper Article
Pink Floyd in Venice Article, dcterms:subject ,Venice Pink Floyd Political crisis
Pink Floyd in Venice Article, dcterms:language Italian
Pink Floyd in Venice Article, dcterms:spatial Italy
Pink Floyd in Venice Article, dcterms:creator ,Il Popolo
Pink Floyd in Venice Article, dcterms:publisher ,Il Popolo
Pink Floyd in Venice Article, ebucore:startDate 25-07-1989
Pink Floyd in Venice Article, dcterms:title ,Crisi in laguna\, dopo i Pink Floyd si litiga sull'Expo,
Pink Floyd in Venice Article, crm:P50_has_current_keeper ,Istituto Sturzo
Pink Floyd in Venice Article, dbpedia-owl:numberOfPages ,1 p.
Pink Floyd in Venice Article, frbrer:3002_hasFormOfWork ,Newspaper article
