Pink Floyd: The Wall, rdfs:label ,The Wall movie
Pink Floyd: The Wall, rdf:type, Movie
Pink Floyd: The Wall, dcterms:subject ,World War II Education Syd Barrett Pink Floyd
Pink Floyd: The Wall, dcterms:spatial ,United Kingdom
Pink Floyd: The Wall, owl:sameAs https://viaf.org/viaf/305897723/
Pink Floyd: The Wall, gndo:director ,Alan Parker,
Pink Floyd: The Wall, gndo:screenwriter ,Roger Waters,
Pink Floyd: The Wall, dcterms:contributor ,Peter Biziou Gerry Hambling Celestia Fox Brian Morris
Pink Floyd: The Wall, schema:producer ,Alan Marshall
Pink Floyd: The Wall, dcterms:format ,1:35 hours
Pink Floyd: The Wall, dcterms:title ,Pink Floyd: The Wall
Pink Floyd: The Wall, dbpedia-owl:releaseDate ,15 July 1982
Pink Floyd: The Wall, schema:genre ,Musical Film Drama Art film
